Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,1,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,1,10,3
2014,11,1,11,4
2014,12,0,12,4
2014,13,1,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,0,31,5
2014,32,0,32,5
2014,33,0,33,5
2014,34,0,34,5
2014,35,1,35,6
2014,36,0,36,6
2014,37,0,37,6
2014,38,0,38,6
2014,39,1,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,1,42,8
2014,43,0,43,8
2014,44,0,44,8
2014,45,0,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,0,49,8
2014,50,0,50,8
2014,51,0,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,1,57,9
2015,5,0,58,9
2015,6,0,59,9
2015,7,0,60,9
2015,8,0,61,9
2015,9,0,62,9
2015,10,0,63,9
2015,11,0,64,9
2015,12,0,65,9
2015,13,1,66,10
2015,14,0,67,10
2015,15,0,68,10
2015,16,0,69,10
2015,17,0,70,10
2015,18,0,71,10
2015,19,1,72,11
2015,20,0,73,11
2015,21,0,74,11
2015,22,1,75,12
2015,23,0,76,12
2015,24,0,77,12
2015,25,0,78,12
2015,26,1,79,13
2015,27,0,80,13
2015,28,0,81,13
2015,29,0,82,13
2015,30,0,83,13
2015,31,1,84,14
2015,32,0,85,14
2015,33,0,86,14
2015,34,0,87,14
2015,35,0,88,14
2015,36,0,89,14
2015,37,0,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,1,95,15
2015,43,0,96,15
2015,44,0,97,15
2015,45,0,98,15
2015,46,0,99,15
2015,47,0,100,15
2015,48,0,101,15
2015,49,0,102,15
2015,50,0,103,15
2015,51,0,104,15
2015,52,0,105,15
2016,1,0,106,15
2016,2,0,107,15
2016,3,0,108,15
2016,4,0,109,15
2016,5,0,110,15
2016,6,0,111,15
2016,7,2,112,17
2016,8,2,113,19
2016,9,0,114,19
2016,10,0,115,19
2016,11,0,116,19
2016,12,0,117,19
2016,13,0,118,19
2016,14,0,119,19
2016,15,0,120,19
2016,16,0,121,19
2016,17,0,122,19
2016,18,0,123,19
2016,19,0,124,19
2016,20,1,125,20
2016,21,0,126,20
2016,22,0,127,20
2016,23,0,128,20
2016,24,0,129,20
2016,25,0,130,20
2016,26,0,131,20
2016,27,0,132,20
2016,28,0,133,20
2016,29,0,134,20
2016,30,0,135,20
2016,31,1,136,21
2016,32,1,137,22
2016,33,0,138,22
2016,34,0,139,22
2016,35,0,140,22
2016,36,1,141,23
2016,37,0,142,23
2016,38,0,143,23
2016,39,0,144,23
2016,40,0,145,23
2016,41,0,146,23
2016,42,0,147,23
2016,43,0,148,23
2016,44,0,149,23
2016,45,0,150,23
2016,46,1,151,24
2016,47,0,152,24
2016,48,0,153,24
2016,49,0,154,24
2016,50,0,155,24
2016,51,0,156,24
2016,52,0,157,24
