Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,1,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,0,39,1
2014,40,0,40,1
2014,41,0,41,1
2014,42,1,42,2
2014,43,0,43,2
2014,44,0,44,2
2014,45,0,45,2
2014,46,0,46,2
2014,47,0,47,2
2014,48,0,48,2
2014,49,1,49,3
2014,50,0,50,3
2014,51,0,51,3
2014,52,0,52,3
2014,53,0,53,3
2015,1,0,54,3
2015,2,0,55,3
2015,3,0,56,3
2015,4,0,57,3
2015,5,0,58,3
2015,6,0,59,3
2015,7,0,60,3
2015,8,0,61,3
2015,9,0,62,3
2015,10,0,63,3
2015,11,0,64,3
2015,12,0,65,3
2015,13,0,66,3
2015,14,0,67,3
2015,15,0,68,3
2015,16,0,69,3
2015,17,0,70,3
2015,18,0,71,3
2015,19,0,72,3
2015,20,0,73,3
2015,21,0,74,3
2015,22,0,75,3
2015,23,0,76,3
2015,24,0,77,3
2015,25,0,78,3
2015,26,0,79,3
2015,27,0,80,3
2015,28,0,81,3
2015,29,0,82,3
2015,30,0,83,3
2015,31,0,84,3
2015,32,0,85,3
2015,33,0,86,3
2015,34,0,87,3
2015,35,0,88,3
2015,36,0,89,3
2015,37,0,90,3
2015,38,0,91,3
2015,39,0,92,3
2015,40,0,93,3
2015,41,0,94,3
2015,42,0,95,3
2015,43,0,96,3
2015,44,0,97,3
2015,45,0,98,3
2015,46,0,99,3
2015,47,0,100,3
2015,48,0,101,3
2015,49,0,102,3
2015,50,0,103,3
2015,51,0,104,3
2015,52,0,105,3
2016,1,0,106,3
2016,2,0,107,3
2016,3,0,108,3
2016,4,0,109,3
2016,5,0,110,3
2016,6,0,111,3
2016,7,0,112,3
2016,8,0,113,3
2016,9,0,114,3
2016,10,0,115,3
2016,11,0,116,3
2016,12,0,117,3
2016,13,0,118,3
2016,14,0,119,3
2016,15,0,120,3
2016,16,0,121,3
2016,17,0,122,3
2016,18,0,123,3
2016,19,0,124,3
2016,20,0,125,3
2016,21,0,126,3
2016,22,0,127,3
2016,23,0,128,3
2016,24,0,129,3
2016,25,0,130,3
2016,26,0,131,3
2016,27,0,132,3
2016,28,0,133,3
2016,29,0,134,3
2016,30,0,135,3
2016,31,0,136,3
2016,32,0,137,3
2016,33,0,138,3
2016,34,0,139,3
2016,35,0,140,3
2016,36,0,141,3
2016,37,0,142,3
2016,38,0,143,3
2016,39,0,144,3
2016,40,0,145,3
2016,41,0,146,3
2016,42,0,147,3
2016,43,0,148,3
2016,44,0,149,3
2016,45,0,150,3
2016,46,0,151,3
2016,47,0,152,3
2016,48,0,153,3
2016,49,0,154,3
2016,50,0,155,3
2016,51,0,156,3
2016,52,0,157,3
