Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,2,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,1,22,4
2014,23,1,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,1,31,6
2014,32,1,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,1,39,8
2014,40,0,40,8
2014,41,0,41,8
2014,42,0,42,8
2014,43,0,43,8
2014,44,0,44,8
2014,45,0,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,1,49,9
2014,50,0,50,9
2014,51,1,51,10
2014,52,0,52,10
2014,53,0,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,0,56,10
2015,4,1,57,11
2015,5,0,58,11
2015,6,0,59,11
2015,7,0,60,11
2015,8,2,61,13
2015,9,0,62,13
2015,10,0,63,13
2015,11,0,64,13
2015,12,0,65,13
2015,13,0,66,13
2015,14,0,67,13
2015,15,0,68,13
2015,16,0,69,13
2015,17,0,70,13
2015,18,0,71,13
2015,19,0,72,13
2015,20,0,73,13
2015,21,0,74,13
2015,22,0,75,13
2015,23,0,76,13
2015,24,0,77,13
2015,25,0,78,13
2015,26,0,79,13
2015,27,0,80,13
2015,28,0,81,13
2015,29,1,82,14
2015,30,0,83,14
2015,31,0,84,14
2015,32,0,85,14
2015,33,0,86,14
2015,34,0,87,14
2015,35,1,88,15
2015,36,0,89,15
2015,37,0,90,15
2015,38,0,91,15
2015,39,0,92,15
2015,40,0,93,15
2015,41,0,94,15
2015,42,0,95,15
2015,43,0,96,15
2015,44,0,97,15
2015,45,0,98,15
2015,46,0,99,15
2015,47,0,100,15
2015,48,0,101,15
2015,49,0,102,15
2015,50,0,103,15
2015,51,0,104,15
2015,52,0,105,15
2016,1,0,106,15
2016,2,0,107,15
2016,3,0,108,15
2016,4,0,109,15
2016,5,0,110,15
2016,6,0,111,15
2016,7,0,112,15
2016,8,0,113,15
2016,9,1,114,16
2016,10,0,115,16
2016,11,0,116,16
2016,12,0,117,16
2016,13,0,118,16
2016,14,0,119,16
2016,15,0,120,16
2016,16,0,121,16
2016,17,2,122,18
2016,18,0,123,18
2016,19,0,124,18
2016,20,1,125,19
2016,21,0,126,19
2016,22,0,127,19
2016,23,0,128,19
2016,24,0,129,19
2016,25,0,130,19
2016,26,0,131,19
2016,27,0,132,19
2016,28,0,133,19
2016,29,0,134,19
2016,30,0,135,19
2016,31,0,136,19
2016,32,0,137,19
2016,33,0,138,19
2016,34,0,139,19
2016,35,0,140,19
2016,36,0,141,19
2016,37,19,142,38
2016,38,0,143,38
2016,39,0,144,38
2016,40,0,145,38
2016,41,0,146,38
2016,42,0,147,38
2016,43,0,148,38
2016,44,0,149,38
2016,45,1,150,39
2016,46,0,151,39
2016,47,0,152,39
2016,48,0,153,39
2016,49,0,154,39
2016,50,0,155,39
2016,51,0,156,39
2016,52,0,157,39
2017,1,0,158,39
2017,2,0,159,39
2017,3,0,160,39
2017,4,0,161,39
2017,5,0,162,39
2017,6,0,163,39
2017,7,0,164,39
2017,8,0,165,39
2017,9,0,166,39
2017,10,0,167,39
2017,11,0,168,39
2017,12,0,169,39
2017,13,0,170,39
2017,14,0,171,39
2017,15,0,172,39
